page_id,page_url,image_url,status,http_status,bytes_saved,local_path,reason
362,https://laurahaamster.blogspot.com/2018/11/send-laura-i-will-learn-how-to-love.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
363,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-that-was-bad-i.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
363,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-that-was-bad-i.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
363,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-that-was-bad-i.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
363,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-that-was-bad-i.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
364,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-are-you-ok.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
364,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-are-you-ok.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
364,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-are-you-ok.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
364,https://laurahaamster.blogspot.com/2018/11/receive-from-laura-are-you-ok.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
365,https://laurahaamster.blogspot.com/2018/11/send-laura-stoic-philosophy-based-on.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
365,https://laurahaamster.blogspot.com/2018/11/send-laura-stoic-philosophy-based-on.html,https://resources.blogblog.com/img/navbar/icons_peach.png,OK,200,907,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\navbar\icons_peach_de6d7276cd.png,
365,https://laurahaamster.blogspot.com/2018/11/send-laura-stoic-philosophy-based-on.html,https://themes.googleusercontent.com/image?id=0BwVBOzw_-hbMNzE5NTg3YzUtMGU0Mi00OWQ3LTg2NjUtODk1OGVlMjg1YjZj,OK,200,53665,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\themes.googleusercontent.com\image_54a3eb0723.png,
365,https://laurahaamster.blogspot.com/2018/11/send-laura-stoic-philosophy-based-on.html,https://www.blogger.com/img/share_buttons_20_3.png,OK,200,5080,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\blogger.com\img\share_buttons_20_3_c7ee5dc951.png,
366,https://laurahaamster.blogspot.com/2018/11/send-laura-power-of-ethical-reasoning.html,https://resources.blogblog.com/img/icon18_edit_allbkg.gif,OK,200,162,C:\Users\nanyd\PycharmProjects\fancyweb\fancyweb\web\images\resources.blogblog.com\img\icon18_edit_allbkg_459517fc40.gif,
